,Date,Weekday,Menu,Lang,LunchTime,UpdateDate,Restaurant,MenuLink,Price
0,12.06,Maanantai,"Purjososekeitto L,G",FI,10:30-15:00,2023-06-12 17:05:42 ,Kitchen,https://ravintolakitchen.fi/lounas-2/,€14.90/€11.60
1,12.06,Maanantai,Broileris-kasvis-pastavuoka L,FI,10:30-15:00,2023-06-12 17:05:42 ,Kitchen,https://ravintolakitchen.fi/lounas-2/,€14.90/€11.60
2,12.06,Maanantai,"Makkaralajitelma jasinappimajoneesi L,G",FI,10:30-15:00,2023-06-12 17:05:42 ,Kitchen,https://ravintolakitchen.fi/lounas-2/,€14.90/€11.60
3,12.06,Maanantai,"Parmesan-kaprisperuna L,G",FI,10:30-15:00,2023-06-12 17:05:42 ,Kitchen,https://ravintolakitchen.fi/lounas-2/,€14.90/€11.60
4,12.06,Maanantai,Marjapiirakka ja vaniljakastike L,FI,10:30-15:00,2023-06-12 17:05:42 ,Kitchen,https://ravintolakitchen.fi/lounas-2/,€14.90/€11.60
5,13.06,Tiistai,"Borskeitto ja smetana M,G",FI,10:30-15:00,2023-06-12 17:05:42 ,Kitchen,https://ravintolakitchen.fi/lounas-2/,€14.90/€11.60
6,13.06,Tiistai,"Jauhelihakastike L,G",FI,10:30-15:00,2023-06-12 17:05:42 ,Kitchen,https://ravintolakitchen.fi/lounas-2/,€14.90/€11.60
7,13.06,Tiistai,"Perunamuusi L,G",FI,10:30-15:00,2023-06-12 17:05:42 ,Kitchen,https://ravintolakitchen.fi/lounas-2/,€14.90/€11.60
8,13.06,Tiistai,"Sienirisottoa ja parmesaania L,G",FI,10:30-15:00,2023-06-12 17:05:42 ,Kitchen,https://ravintolakitchen.fi/lounas-2/,€14.90/€11.60
9,13.06,Tiistai,"Vadelmakiisseli L,G",FI,10:30-15:00,2023-06-12 17:05:42 ,Kitchen,https://ravintolakitchen.fi/lounas-2/,€14.90/€11.60
10,14.06,Keskiviikko,Chili-juustokeitto ja krutonkia L,FI,10:30-15:00,2023-06-12 17:05:42 ,Kitchen,https://ravintolakitchen.fi/lounas-2/,€14.90/€11.60
11,14.06,Keskiviikko,"Lihapullia tomaattikastikkeessa L,G",FI,10:30-15:00,2023-06-12 17:05:42 ,Kitchen,https://ravintolakitchen.fi/lounas-2/,€14.90/€11.60
12,14.06,Keskiviikko,"Kanan paistileikettä ja savupaprikamajoneesia L,G",FI,10:30-15:00,2023-06-12 17:05:42 ,Kitchen,https://ravintolakitchen.fi/lounas-2/,€14.90/€11.60
13,14.06,Keskiviikko,Pastaa L,FI,10:30-15:00,2023-06-12 17:05:42 ,Kitchen,https://ravintolakitchen.fi/lounas-2/,€14.90/€11.60
14,14.06,Keskiviikko,"Gratinoitua parsaa M,G",FI,10:30-15:00,2023-06-12 17:05:42 ,Kitchen,https://ravintolakitchen.fi/lounas-2/,€14.90/€11.60
15,14.06,Keskiviikko,"Mustikkarahka L,G",FI,10:30-15:00,2023-06-12 17:05:42 ,Kitchen,https://ravintolakitchen.fi/lounas-2/,€14.90/€11.60
