,Date,Weekday,Menu,Lang,UpdateDate,Restaurant,LunchTime,MenuLink,Price
0,,maanantai,[],FI,2023-06-10 17:56:39 ,Kehruuhuone,11:00-14:00,https://www.raflaamo.fi/fi/ravintola/lappeenranta/kehruuhuone/menu/lounas?menuGroupId=2026&menuGroupTitle=burgerit,€14.90/€12.90
1,,tiistai,[],FI,2023-06-10 17:56:39 ,Kehruuhuone,11:00-14:00,https://www.raflaamo.fi/fi/ravintola/lappeenranta/kehruuhuone/menu/lounas?menuGroupId=2026&menuGroupTitle=burgerit,€14.90/€12.90
2,,keskiviikko,[],FI,2023-06-10 17:56:39 ,Kehruuhuone,11:00-14:00,https://www.raflaamo.fi/fi/ravintola/lappeenranta/kehruuhuone/menu/lounas?menuGroupId=2026&menuGroupTitle=burgerit,€14.90/€12.90
3,,torstai,[],FI,2023-06-10 17:56:39 ,Kehruuhuone,11:00-14:00,https://www.raflaamo.fi/fi/ravintola/lappeenranta/kehruuhuone/menu/lounas?menuGroupId=2026&menuGroupTitle=burgerit,€14.90/€12.90
4,,perjantai,[],FI,2023-06-10 17:56:39 ,Kehruuhuone,11:00-14:00,https://www.raflaamo.fi/fi/ravintola/lappeenranta/kehruuhuone/menu/lounas?menuGroupId=2026&menuGroupTitle=burgerit,€14.90/€12.90
5,,Monday,[],EN,2023-06-10 17:56:39 ,Kehruuhuone,11:00-14:00,https://www.raflaamo.fi/fi/ravintola/lappeenranta/kehruuhuone/menu/lounas?menuGroupId=2026&menuGroupTitle=burgerit,€14.90/€12.90
6,,Tuesday,[],EN,2023-06-10 17:56:39 ,Kehruuhuone,11:00-14:00,https://www.raflaamo.fi/fi/ravintola/lappeenranta/kehruuhuone/menu/lounas?menuGroupId=2026&menuGroupTitle=burgerit,€14.90/€12.90
7,,Wednesday,[],EN,2023-06-10 17:56:39 ,Kehruuhuone,11:00-14:00,https://www.raflaamo.fi/fi/ravintola/lappeenranta/kehruuhuone/menu/lounas?menuGroupId=2026&menuGroupTitle=burgerit,€14.90/€12.90
8,,Thursday,[],EN,2023-06-10 17:56:39 ,Kehruuhuone,11:00-14:00,https://www.raflaamo.fi/fi/ravintola/lappeenranta/kehruuhuone/menu/lounas?menuGroupId=2026&menuGroupTitle=burgerit,€14.90/€12.90
9,,Friday,[],EN,2023-06-10 17:56:39 ,Kehruuhuone,11:00-14:00,https://www.raflaamo.fi/fi/ravintola/lappeenranta/kehruuhuone/menu/lounas?menuGroupId=2026&menuGroupTitle=burgerit,€14.90/€12.90
10,,понедельник,[],RU,2023-06-10 17:56:39 ,Kehruuhuone,11:00-14:00,https://www.raflaamo.fi/fi/ravintola/lappeenranta/kehruuhuone/menu/lounas?menuGroupId=2026&menuGroupTitle=burgerit,€14.90/€12.90
11,,вторник,[],RU,2023-06-10 17:56:39 ,Kehruuhuone,11:00-14:00,https://www.raflaamo.fi/fi/ravintola/lappeenranta/kehruuhuone/menu/lounas?menuGroupId=2026&menuGroupTitle=burgerit,€14.90/€12.90
12,,среда,[],RU,2023-06-10 17:56:39 ,Kehruuhuone,11:00-14:00,https://www.raflaamo.fi/fi/ravintola/lappeenranta/kehruuhuone/menu/lounas?menuGroupId=2026&menuGroupTitle=burgerit,€14.90/€12.90
13,,четверг,[],RU,2023-06-10 17:56:39 ,Kehruuhuone,11:00-14:00,https://www.raflaamo.fi/fi/ravintola/lappeenranta/kehruuhuone/menu/lounas?menuGroupId=2026&menuGroupTitle=burgerit,€14.90/€12.90
14,,пятница,[],RU,2023-06-10 17:56:39 ,Kehruuhuone,11:00-14:00,https://www.raflaamo.fi/fi/ravintola/lappeenranta/kehruuhuone/menu/lounas?menuGroupId=2026&menuGroupTitle=burgerit,€14.90/€12.90
